index;PCE;quantity DS HTL;ratio P3HT:PCBM;P3HT;PCBM;temperature;dew point;hummidity;pressure;time;PCE_pred
71;0.532585739;0.5;1.11;1;0.9;17.22;2.78;39;1007.79;0;
76;0.470710945;0.5;1.11;1;0.9;20;3.89;35;1011.85;7;
81;0.427945073;0.5;1.11;1;0.9;17.78;6.11;45;1014.9;13;
85;0.437369792;0.5;1.11;1;0.9;12.22;2.78;54;1007.79;20;
90;0.411925115;0.5;1.11;1;0.9;15;3.89;48;1002.03;21;
94;0.418292641;0.5;1.11;1;0.9;17.22;5;45;1020.66;26;
99;0.416701285;0.5;1.11;1;0.9;16.11;8.89;63;1015.92;47;
103;0.372726732;0.5;1.11;1;0.9;12.78;7.78;72;1023.71;69;
107;0.385337873;0.5;1.11;1;0.9;12.22;3.89;58;1019.64;78;
111;0.388483675;0.5;1.11;1;0.9;12.22;10;88;1023.71;98;
115;0.340614017;0.5;1.11;1;0.9;17.22;1.11;34;1020.66;104;
120;0.400197432;0.5;1.11;1;0.9;16.11;2.78;42;1021.67;111;
124;0.366227516;0.5;1.11;1;0.9;16.11;8.89;63;1017.95;118;
127;0.3570133;0.5;1.11;1;0.9;15;11.11;77;1017.95;125;
131;0.37035753;0.5;1.11;1;0.9;17.22;10;63;1007.79;132;
136;0.372331527;0.5;1.11;1;0.9;12.78;11.11;88;1014.9;139;
141;0.354058686;0.5;1.11;1;0.9;15;12.22;82;997.97;146;
148;0.328186539;0.5;1.11;1;0.9;17.22;12.78;77;1004.74;160;
153;0.344411681;0.5;1.11;1;0.9;18.89;10;56;1012.87;174;
158;0.265207881;0.5;1.11;1;0.9;15;13.89;94;1008.81;181;